School,Conference,Wins,Losses,W-L%,Team Points per Game,Team Points per Game Allowed,Team Rebounds per Game,Strength of Schedule,Team Field Goal %,Team 3-Point %,Team Free Throw %,Offensive Rating,Scoring Leader,Points per Game,Rebounds Leader,Rebounds per Game,Assists Leader,Assists per Game
Abilene Christian,Southland,19,10,0.655,76.2,64.8,33.5,-06.86,0.449,0.314,0.744,105.3,Payten Ricks,14.8,Kolton Kohl,04.4,Damien Daniels,3.2
Air Force,MWC,11,19,0.367,73.4,74.8,32.9,02.54,0.454,0.372,0.730,106.0,Lavelle Scottie,15.8,Lavelle Scottie,05.7,A.J. Walker,3.0
Akron,MAC,22,07,0.759,75.7,66.2,38.1,-00.59,0.440,0.362,0.764,107.0,Loren Jackson,20.2,Xeyrius Williams,09.4,Loren Jackson,4.6
Alabama A&M,SWAC,07,19,0.269,62.1,72.3,34.8,-08.85,0.378,0.283,0.674,088.9,Cameron Alford,13.4,Cameron Alford,05.9,Cameron Tucker,3.5
Alabama-Birmingham,CUSA,17,13,0.567,66.9,65.2,37.2,-01.52,0.451,0.319,0.695,099.8,Tavin Lovan,12.7,Makhtar Gueye,05.1,Tyreek Scott-Grayson,2.0
Alabama State,SWAC,08,20,0.286,61.5,71.0,32.0,-05.99,0.391,0.313,0.620,087.2,Tobi Ewuosho,12.8,Tobi Ewuosho,06.0,D.J. Heath,2.3
Alabama,SEC,16,13,0.552,83.2,79.1,40.0,08.28,0.441,0.355,0.693,106.8,Kira Lewis Jr.,18.1,John Petty,06.6,Kira Lewis Jr.,5.2
Albany (NY),AEC,14,16,0.467,66.4,67.6,34.5,-06.32,0.410,0.323,0.705,094.9,Ahmad Clark,16.7,Romani Hansen,05.9,Ahmad Clark,4.1
Alcorn State,SWAC,13,14,0.481,75.1,73.4,37.4,-09.68,0.427,0.373,0.737,102.5,Maurice Howard,13.7,Kobe Wilson,05.9,Maurice Howard,3.7
American,Patriot,16,13,0.552,72.1,69.7,32.7,-06.40,0.460,0.345,0.709,103.9,Sa'eed Nelson,18.4,Mark Gasperini,05.2,Sa'eed Nelson,4.8
Appalachian State,Sun_Belt,16,14,0.533,68.6,67.2,35.4,00.10,0.431,0.310,0.669,099.7,Justin Forrest,17.7,Isaac Johnson,07.7,Justin Forrest,3.0
Arizona State,Pac-12,19,10,0.655,73.2,69.7,35.7,08.09,0.430,0.325,0.688,099.7,Remy Martin,19.6,Romello White,09.1,Remy Martin,4.0
Arizona,Pac-12,19,10,0.655,76.6,65.1,37.5,08.31,0.450,0.346,0.732,108.8,Zeke Nnaji,16.2,Zeke Nnaji,08.6,Nico Mannion,5.3
Little Rock,Sun_Belt,21,09,0.700,73.3,68.8,35.6,-01.27,0.472,0.347,0.716,104.7,Markquis Nowell,17.4,Ruot Monyyong,10.0,Markquis Nowell,5.0
Arkansas-Pine Bluff,SWAC,04,24,0.143,53.1,67.8,31.4,-05.41,0.394,0.275,0.586,078.7,Markedric Bell,10.5,Marquell Carter,05.7,Jordan McNair,1.4
Arkansas State,Sun_Belt,15,15,0.500,70.7,71.8,32.7,-00.61,0.438,0.343,0.711,102.8,Marquis Eaton,13.4,Malik Brevard,06.1,Caleb Fields,3.4
Arkansas,SEC,18,11,0.621,74.9,68.6,31.6,07.26,0.440,0.325,0.734,103.5,Mason Jones,21.3,Mason Jones,05.7,Mason Jones,3.4
Army,Patriot,15,14,0.517,71.0,72.0,33.9,-06.64,0.474,0.331,0.619,101.0,Thomas Funk,17.4,Matthew Wilson,08.0,Thomas Funk,6.9
Auburn,SEC,24,05,0.828,77.9,70.4,41.1,07.38,0.430,0.299,0.670,107.8,Samir Doughty,15.9,Austin Wiley,09.4,J'Von McCormick,4.3
Austin Peay,OVC,20,11,0.645,76.8,71.6,35.9,-04.26,0.459,0.342,0.723,109.5,Terry Taylor,21.4,Terry Taylor,10.8,Carlos Paez,3.6
Ball State,MAC,16,13,0.552,68.8,62.6,35.6,-01.51,0.425,0.333,0.677,099.2,Tahjai Teague,14.2,Tahjai Teague,09.0,Jarron Coleman,2.9
Baylor,Big_12,25,03,0.893,71.4,59.3,37.3,08.54,0.432,0.352,0.695,107.0,Jared Butler,15.8,Freddie Gillespie,09.1,Davion Mitchell,3.9
Belmont,OVC,24,07,0.774,80.4,68.3,37.0,-06.36,0.480,0.359,0.708,110.1,Adam Kunkel,16.6,Grayson Murphy,07.5,Grayson Murphy,6.3
Bethune-Cookman,MEAC,15,13,0.536,75.0,72.4,39.1,-08.74,0.425,0.320,0.709,098.8,Isaiah Bailey,15.5,Cletrell Pope,11.8,Malik Maitland,3.0
Binghamton,AEC,10,19,0.345,69.4,76.6,34.9,-04.56,0.410,0.331,0.724,099.6,Sam Sessoms,19.4,Pierre Sarr,07.4,Sam Sessoms,4.8
